story_date;story_sequence_index;filename;is_meme;topic_primary;meme_type;source_mode;external_source_account;tone;ideological_target;notes;
12.01.2025;32;9521;0;football,barcelona;photo with caption;original;;informative;football;;
12.01.2025;33;9522;1;football,barcelona;photo with caption;original;;funny;football;popular photo of szczesny from match against argentina (he stopped messi's free kick), grimace suggesting chill, i got this;
12.01.2025;34;9523;1;football,barcelona;video with caption;repost;unattributed;funny;football;dancers moving in sync;
12.01.2025;35;9524;0;football,barcelona;photo with caption;original;;informative;football;;
12.01.2025;36;9525;0;football,barcelona;photo with caption;original;;informative;football;;
12.01.2025;37;9528;0;football,barcelona;photo with caption;original;;informative;football;;
12.01.2025;38;9529;0;football,barcelona;photo with caption;original;;informative;football;;
12.01.2025;39;9530;1;football,barcelona;photo with caption;original;;funny;football;photo of family of 3 on rollercoaster w various faces;
12.01.2025;40;9531;1;szczesny;photo with caption;original;;funny;football;"frame from trailer park boys when protagonist says, ""I shouldnt do it, but fuck it""";
12.01.2025;41;9532;0;football,barcelona;photo with caption;original;;informative;football;;
12.01.2025;42;9533;0;szczesny;screenshot;reply;j.cabronski;funny;football;reply to story #9528 about szczesny leaving pitch to have a cigarette;
12.01.2025;43;9534;0;szczesny;screenshot;repost;barca_infopol;funny;football;"""Hehe"" reply to story 9515 about flick keeping szczesny in first squad until end of tournament";
12.01.2025;44;9535;1;szczesny,lewandowski;photo with caption;original;;funny;football;imaginary conversation b/n szczesny and lewandowski after match, szczesny sorry, lewandowski understanding;
12.01.2025;45;9536;1;szczesny;photoshop;repost;marek_kornackisz;funny;football;caption: szczesny like pena so much he let him play in final, hence red card;
12.01.2025;46;9537;0;football,barcelona;photo ;original;;informative;football;;
12.01.2025;47;9538;1;szczesny;screenshot;repost;ekstraklasatrolls;funny;football;pic of szczesny: retired, back to work, got red card so squads can be same, won a trophy faster than harry kane;
12.01.2025;48;9539;0;szczesny;screenshot;repost;unattributed;informative;football;;
12.01.2025;49;9540;1;lewandowski;photo with caption;original;;funny;football;"lewandowski with 2 teammates with cup, caption ""Stary z dzieciakami""";
12.01.2025;50;9541;1;szczesny;screenshot;repost;unattributed;funny;football;post claiming szczesny got red card so people can talk about it on social media;
12.01.2025;51;9542;0;lewandowski;photo ;original;;informative;football;;
12.01.2025;52;9543;0;dogs;video with caption;repost;panna_patern;inspring;;;
12.01.2025;53;9544;1;everydaylife;screenshot;repost;krzycz_hubson;quirky;;train traffic disruptions in olszyn, official info: minotaur;
12.01.2025;54;9545;0;nature;video with caption;repost;b_a_l_t_y_k;calming;;;
12.01.2025;55;9546;0;dogs,cats;video with caption;repost;vizslabegan;calming;;;
13.01.2025;1;9547;0;football,barcelona,szczesny,lewandowski;photo with caption;original;;informative;;;
13.01.2025;2;9548;1;lewandowski;photo with caption;original;make_life_harder;funny;football;jakobe's selfie with lewandowski;
13.01.2025;3;9549;1;everydaylife;video with caption;repost;unattributed;funny;;"video of kung fu fight w caption ""Ok, well, ready for mndy""";
13.01.2025;4;9550;0;celebrities;screenshot;reply;white_agp;funny;;;
13.01.2025;5;9551;0;szczesny;screenshot;repost;szjanczyk;funny;;;
13.01.2025;6;9552;0;news ;screenshot;repost;interia_codziennie;informative;;;
13.01.2025;7;9553;0;lewandowski;screenshot;repost;Damian Wiśniewski;funny;;;
13.01.2025;8;9554;1;everydaylife;video with caption;repost;unattributed;shocking;;chinese policeman pinning down a guy;
13.01.2025;9;9555;0;selfrefential;text;original;;funny;;;
13.01.2025;10;9556;1;police;macro;original;;funny;;tiny paralizer used by polish police;
13.01.2025;11;9557;1;selfrefential;screenshot;reply;maciek_bienias;funny;;;
13.01.2025;12;9558;0;selfrefential;text;original;;funny;;;
13.01.2025;13;9559;1;szczesny,lewandowski;screenshot;repost;lewandowski;quirky;;both sporting medal and cup;
13.01.2025;14;9560;1;szczesny,lewandowski;screenshot;original;;funny;;close up on the photo showing haribo, caption asking if anna knows;
13.01.2025;15;9561;0;selfrefential;screenshot;reply;vofighter;informative;;conversation about #9549;
13.01.2025;16;9562;0;selfrefential;screenshot;reply;bartek_pronin;funny;;conversation about #9549;
13.01.2025;17;9563;1;barcelona;photoshop;repost;coach_kuba;funny;;;
13.01.2025;18;9564;1;barcelona;photoshop;repost;wagnerjacek;funny;;;
13.01.2025;19;9565;0;lewandowski;screenshot;repost;maciej_gregorczyk;informative;football;note about lewandowski having scored 11 goals real madrid;
13.01.2025;20;9566;1;everydaylife;screenshot;repost;pan_curonium;quirky;football;guy about being banned from chess group on FB;
13.01.2025;21;9567;0;squirrels;video with caption;repost;dropsthedogfanpage;calming;;;
13.01.2025;22;9568;1;szczesny,lewandowski;macro;repost;darejoss2;funny;football;super cup as ashtray for szczesny;
13.01.2025;23;9569;0;football,poland;screenshot;repost;felozaurus;informative;;;
13.01.2025;24;9570;1;everydaylife;video with caption;repost;at_me_i;funny;;granny's methods of finding husband;
13.01.2025;25;9571;0;commercial;text;;;;;announcement;
13.01.2025;26;9572;0;commercial;screenshot;repost;rtveuroagd;;;;
13.01.2025;27;9573;0;commercial;link;repost;rtveuroagd;;;;
13.01.2025;28;9574;0;commercial;text;;;;;announcement;
13.01.2025;29;9575;0;reply;screenshot;reply;baberrek;funny;;;
13.01.2025;30;9576;0;reply;screenshot;reply;piotr.rutkowski;funny;;;
13.01.2025;31;9577;1;john paul 2;video  ;original;;funny;;;
13.01.2025;32;9578;0;reply;screenshot;reply;baberrek;funny;;;
13.01.2025;33;9579;0;selfrefential;screenshot;repost;polsatofficial;funny;;;
13.01.2025;34;9580;1;nature;video with caption;repost;maurice_the_clam;inspiring;;monroe, maurice's brother;
13.01.2025;35;9581;0;sports,boxing,fury;screenshot;repost;przeglad;informative;;;
13.01.2025;36;9582;0;cats;video with caption;repost;swobodny_lot_komety;funny;;;
13.01.2025;37;9583;0;reply;screenshot;reply;fkadrze;funny;;;
13.01.2025;38;9584;0;news,politics,warsaw,russia;screenshot;repost;wirtualnapolska;shocking;;;
13.01.2025;39;9585;0;news,politics,warsaw,russia;screenshot;repost;wirtualnapolska;shocking;;;
13.01.2025;40;9586;0;news,politics,warsaw,russia;screenshot;repost;wirtualnapolska;shocking;;;
13.01.2025;41;9587;1;poland;photo with caption;original;;funny;;photo of cardboard box captioned Polska;
13.01.2025;42;9588;0;reply;screenshot;repost;wojtek_offduty;quirky;;;
13.01.2025;43;9589;0;nature,birds;video with caption;repost;michal.babinski;calming;;;
14.01.2025;1;9592;0;nature ;video with caption;repost;tanczacachmura;calming;;;
14.01.2025;2;9593;1;nature,weather,poland;macro;original;;funny;;;
14.01.2025;3;9594;0;nature ;photo;repost;highmom;picturesque;;;
14.01.2025;4;9595;0;nature;photo with caption;repost;sara.kopara;funny;;;
14.01.2025;5;9596;0;politics,russia,us;screenshot;repost;one_gram_of_happiness;shocking;;;
14.01.2025;6;9597;1;politics,russia,us;photoshop;original;;funny;;californians queuing to cherson;
14.01.2025;7;9600;1;winter;video  ;repost;unattributed;funny;;car sliding on icy road;
14.01.2025;8;9601;0;news,poland,medics;screenshot;repost;onet_pl;;;;
14.01.2025;9;9602;0;politics,poland,pis;video with caption;repost;praktycznieofinansach;funny;;recording of sasin in radiozet talking rubbish;
14.01.2025;10;9603;1;poland,army;macro;repost;kasjencja;funny;;expanding meme template with story of lost landmines in poland;
14.01.2025;11;9604;0;news,iceland,volcano;screenshot;repost;dawidgalinski;informative;;;
14.01.2025;12;9605;0;news,iceland,volcano;screenshot;repost;unattributed;informative;;;
14.01.2025;13;9606;0;celebrities,pitt;screenshot;repost;unattributed;shocking;;french interior designer helping brad pitt;
14.01.2025;14;9607;0;celebrities,pitt;screenshot;original;;funny;;commentary to pitt's selfie in surgery;
14.01.2025;15;9609;1;everydaylife;video with caption;repost;michal.babinski;funny;working classes;"kids making snowball, w caption ""Work on tuesday""";
14.01.2025;16;9610;0;reply;screenshot;reply;sosohanys;funny;;;
14.01.2025;17;9611;0;news,slovakia;video with caption;repost;saintjavelin;shocking;;;
14.01.2025;18;9612;0;news,slovakia;screenshot;repost;unattributed;shocking;conservatives;slovakian student refuse shake hands w president;
14.01.2025;19;9613;0;reply;screenshot;reply;kubiaktoja;funny;conservatives;comment to story #9606;
14.01.2025;20;9614;0;news,ukraine,war;screenshot;repost;marta.wu92;informative;;;
14.01.2025;21;9615;0;news,italy;screenshot;repost;felozaurus;shocking;;lazio's falconer dismissed after posting photos of his genitalia after surgery;
14.01.2025;22;9616;1;reply;macro;original;;funny;;"pun on ""bird"" w meme template";
14.01.2025;23;9617;0;nature,birds;video with caption;repost;unattributed;calming;;;
14.01.2025;24;9618;0;nature,birds;;;;;;;
14.01.2025;25;9619;1;pitt;photo with caption;original;;funny;;comment to story #9606;
14.01.2025;26;9620;1;pitt;macro;original;;funny;;"close up on pitts face w caption ""Jebne ibuprom i bedzie git""";
14.01.2025;27;9621;0;szczesny;screenshot;repost;wojciech.szczesny;informative;;commentary to szczesny's apologetic post;
14.01.2025;28;9622;0;news,celebrities;screenshot;repost;mar_c_in;shocking;;;
14.01.2025;29;9623;0;realestate;screenshot;repost;aluskonik;shocking;;;
14.01.2025;30;9624;0;reply;text;original;;funny;;;
14.01.2025;31;9625;1;everydaylife;macro;repost;mafwitkowska;funny;;frames from cunk on earth;
14.01.2025;32;9627;1;barcelona,lewandowski;macro;repost;ekstraklasatrolls;funny;football;lewandowski with raphinha and yamal;
14.01.2025;33;9628;1;politics,pis;screenshot;reply;arkadiuszmlynarczyk;funny;;slovakian student refuse shake hands w president and photo of polish protester not budging to kaczynski, caption Same vibe;
14.01.2025;34;9629;0;news,internet,russia;screenshot;repost;one_gram_of_happiness;informative;;;
14.01.2025;35;9630;0;reply;screenshot;reply;iam.noman.travel;shocking;;;
14.01.2025;36;9631;1;nature,boars,poland;video with caption;repost;rainbowwarrior88;funny;;boars wrecking snowmen in gdynia;
14.01.2025;37;9632;0;news,us,poland;screenshot;repost;Piotr Sankowski;informative;;;
14.01.2025;38;9633;0;news,us,poland;screenshot;repost;Piotr Sankowski;informative;us.politics;poland as second category counry for us;
